age,citizen,unit,sex,geo\time	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 
Y71,NAT,NR,F,MT	6 	6 	6 	5 	6 	7 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,F,NL	42 	44 	41 	31 	24 b	27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,F,NO	14 	11 	15 	11 	9 	10 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,F,PL	149 	116 	111 	50 	82 b	24 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,F,PT	7 	2 	13 	36 	38 	23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,F,RO	107 	80 	74 	125 	58 	62 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,F,SE	28 	19 	19 	9 	12 	15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,F,SI	14 	9 	3 	10 	9 	6 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,F,SK	: 	: b	3 b	5 	0 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,F,UK	115 	133 	239 	135 	137 	112 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,AT	22 	23 	25 	15 	12 	8 	14 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,BE	25 	16 	15 	27 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,BG	5 p	13 	: 	: 	: 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,CH	71 	54 	56 b	29 	24 	21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,CY	0 	0 	9 	20 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,CZ	4 	1 	5 	4 	2 	2 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,DE	156 	199 	164 	168 	127 b	149 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,DK	25 	16 	19 	15 	15 	22 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,EE	0 	1 	: 	1 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,EL	108 	109 	112 	105 	76 	57 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,ES	95 	85 	81 	71 	95 	121 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,FI	23 	16 	10 	13 	11 	18 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,FR	140 	45 	35 	102 	126 	116 	109 	122 b	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,HR	19 	19 	3 	: 	: 	38 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,HU	3 	2 	4 	0 b	1 	1 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,IE	8 p	6 	12 	39 	59 	94 	85 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,IS	1 	1 	1 	1 	2 b	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,IT	136 	119 	151 	145 	130 p	207 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,LI	1 	0 	0 	0 	1 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,LT	1 	2 	0 	0 	1 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,LU	1 	0 	0 	1 	1 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,LV	3 	6 	6 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,ME	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,MK	: 	3 	7 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,MT	6 	6 	5 	3 	5 	5 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,NL	50 	66 	46 	50 	50 b	43 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,NO	29 	13 	14 	19 	13 	14 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,PL	288 	144 	100 	59 	52 b	15 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,PT	11 	11 	37 	29 	32 	30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,RO	58 	50 	71 	36 	40 	32 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,SE	41 	31 	18 	13 	27 	22 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,SI	12 	3 	13 	10 	14 	5 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,SK	: 	: b	1 b	2 	0 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,M,UK	205 	278 	209 	191 	214 	253 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,AT	33 	41 	39 	29 	24 	23 	23 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,BE	47 	28 	31 	42 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,BG	15 p	36 	: 	: 	: 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,CH	115 	101 	101 b	55 	49 	47 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,CY	0 	0 	13 	28 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,CZ	7 	3 	8 	5 	3 	4 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,DE	256 	290 	279 	287 	233 b	275 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,DK	43 	27 	31 	32 	25 	30 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,EE	0 	1 	2 	3 	3 	1 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,EL	179 	180 	186 	183 	124 	92 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,ES	179 	177 	182 	132 	179 	226 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,FI	33 	27 	26 	21 	26 	33 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,FR	258 	102 	81 	152 	207 	190 	191 	214 b	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,HR	30 	31 	16 	: 	: 	61 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,HU	5 	9 	6 	0 b	2 	1 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,IE	8 p	6 	21 	70 	101 	136 	133 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,IS	2 	3 	1 	1 	2 b	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,IT	213 	200 	260 	235 	231 p	309 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,LI	1 	0 	0 	1 	3 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,LT	7 	7 	4 	1 	5 	11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,LU	4 	4 	1 	2 	2 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,LV	3 	13 	14 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,ME	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,MK	: 	4 	7 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,MT	12 	12 	11 	8 	11 	12 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,NL	92 	110 	87 	81 	74 b	70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,NO	43 	24 	29 	30 	22 	24 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,PL	437 	260 	211 	109 	134 b	39 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,PT	18 	13 	50 	65 	70 	53 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,RO	165 	130 	145 	161 	98 	94 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,SE	69 	50 	37 	22 	39 	37 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,SI	26 	12 	16 	20 	23 	11 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,SK	: 	: b	4 b	7 	0 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,NAT,NR,T,UK	320 	411 	448 	326 	351 	365 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,AT	78 	75 	62 	82 	43 	55 	53 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,BE	53 	74 	92 	102 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,BG	50 p	34 bp	: 	: 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,CH	96 	89 	89 b	79 	67 	67 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,CY	0 	27 	15 	19 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,CZ	9 	15 	13 	17 	30 	49 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,DE	302 	292 	286 	271 	245 b	416 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,DK	27 	17 	17 	26 	13 	14 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,EE	1 	0 	8 	8 	5 	6 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,EL	96 	96 	99 	101 	64 	49 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,ES	525 	478 	603 	473 	434 	561 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,FI	15 	16 	21 	17 	20 	29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,FR	237 	165 	134 	160 b	187 	120 	159 	156 b	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,HR	21 	22 	21 b	: 	: 	32 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,HU	19 	31 	25 	23 b	39 	52 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,IE	0 p	0 	10 	42 	57 	71 	72 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,IS	2 	3 	2 	0 	1 b	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,IT	408 	273 	385 	331 	456 p	460 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,LI	0 	0 	2 	2 	2 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,LT	8 	5 	7 	5 	9 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,LU	20 	18 	14 	9 	8 	13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,LV	0 	18 	12 b	13 	11 	13 	34 	37 	31 	13 	8 	17 	13 	17 	: 	: 
Y71,TOTAL,NR,F,ME	: 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,MK	: 	2 	0 	: 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,MT	12 	10 	9 	6 	6 	7 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,NL	53 	65 	67 	62 	55 b	47 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,NO	23 	19 	21 	21 	24 	27 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,PL	238 	185 	193 	95 	144 b	38 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,PT	12 	6 	20 	43 	50 	46 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,RO	118 	85 	80 	133 	63 	70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,SE	64 	52 	58 	30 	47 	52 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,SI	18 	17 	10 	16 	18 	24 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,SK	: 	: b	5 b	13 	9 	11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,F,UK	391 	159 	381 	304 	199 	320 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,AT	79 	67 	67 	56 	42 	39 	57 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,BE	55 	61 	72 	86 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,BG	41 p	34 bp	: 	: 	: 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,CH	133 	124 	106 b	86 	71 	47 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,CY	0 	0 	19 	41 	0 	19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,CZ	17 	18 	16 	28 	28 	43 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,DE	360 	347 	320 	282 	234 b	444 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,DK	33 	20 	26 	20 	18 	26 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,EE	1 	2 	1 	2 	3 	3 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,EL	138 	139 	143 	133 	92 	72 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,ES	485 	459 	481 	453 	483 	532 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,FI	26 	26 	17 	24 	13 	24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,FR	357 	208 	121 	234 b	248 	231 	234 	201 b	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,HR	35 	38 	18 b	: 	: 	43 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,HU	20 	33 	41 	37 b	54 	52 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,IE	12 p	7 	14 	47 	68 	120 	116 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,IS	1 	1 	2 	4 	2 b	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,IT	298 	241 	296 	311 	378 p	444 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,LI	1 	0 	1 	1 	1 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,LT	2 	3 	2 	0 	3 	10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,LU	26 	7 	6 	10 	12 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,LV	7 	20 	16 b	14 	6 	16 	11 	44 	29 	7 	4 	14 	10 	25 	: 	: 
Y71,TOTAL,NR,M,ME	: 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,MK	: 	4 	8 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,MT	13 	11 	9 	11 	9 	13 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,NL	70 	81 	69 	68 	65 b	68 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,NO	35 	17 	24 	27 	20 	19 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,PL	518 	232 	186 	150 	134 b	34 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,PT	16 	14 	44 	34 	39 	36 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,RO	71 	67 	83 	59 	53 	41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,SE	86 	74 	56 	36 	54 	57 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,SI	20 	13 	21 	15 	24 	17 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,SK	: 	: b	4 b	5 	11 	13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,M,UK	287 	434 	465 	244 	312 	416 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,AT	157 	142 	129 	138 	85 	94 	110 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,BE	108 	135 	164 	188 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,BG	91 p	68 bp	: 	: 	: 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,CH	229 	213 	195 b	165 	138 	114 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,CY	0 	27 	34 	60 	0 	19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,CZ	26 	33 	29 	45 	58 	92 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,DE	662 	639 	606 	553 	479 b	860 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,DK	60 	37 	43 	46 	31 	40 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,EE	2 	2 	9 	10 	8 	9 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,EL	234 	235 	242 	234 	156 	121 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,ES	1010 	937 	1084 	926 	917 	1093 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,FI	41 	42 	38 	41 	33 	53 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,FR	594 	373 	255 	394 b	435 	351 	393 	357 b	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,HR	56 	60 	39 b	: 	: 	75 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,HU	39 	64 	66 	60 b	93 	104 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,IE	12 p	7 	24 	89 	125 	191 	188 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,IS	3 	4 	4 	4 	3 b	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,IT	706 	514 	681 	642 	834 p	904 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,LI	1 	0 	3 	3 	3 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,LT	10 	8 	9 	5 	12 	15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,LU	46 	25 	20 	19 	20 	19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,LV	7 	38 	28 b	27 	17 	29 	45 	81 	60 	20 	12 	31 	23 	42 	: 	: 
Y71,TOTAL,NR,T,ME	: 	9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,MK	: 	6 	8 	: 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,MT	25 	21 	18 	17 	15 	20 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,NL	123 	146 	136 	130 	120 b	115 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,NO	58 	36 	45 	48 	44 	46 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,PL	756 	417 	379 	245 	278 b	72 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,PT	28 	20 	64 	77 	89 	82 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,RO	189 	152 	163 	192 	116 	111 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,SE	150 	126 	114 	66 	101 	109 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,SI	38 	30 	31 	31 	42 	41 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,SK	: 	: b	9 b	18 	20 	24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,TOTAL,NR,T,UK	678 	593 	846 	548 	511 	736 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,UNK,NR,F,AT	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,UNK,NR,F,BE	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,UNK,NR,F,BG	0 	0 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,UNK,NR,F,CH	0 	0 	0 b	0 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,UNK,NR,F,CY	0 	0 	0 	0 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,UNK,NR,F,CZ	0 	: 	: 	: 	0 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,UNK,NR,F,DE	0 	0 	1 	0 	1 b	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,UNK,NR,F,DK	0 	0 	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,UNK,NR,F,EE	0 	0 	: 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,UNK,NR,F,EL	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,UNK,NR,F,ES	0 	0 	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,UNK,NR,F,FI	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,UNK,NR,F,FR	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,UNK,NR,F,HR	0 	0 	0 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,UNK,NR,F,HU	0 	0 	0 	0 b	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,UNK,NR,F,IE	0 p	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,UNK,NR,F,IS	0 	0 	0 	: 	: b	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,UNK,NR,F,IT	0 	0 	0 	0 	0 p	0 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,UNK,NR,F,LI	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,UNK,NR,F,LT	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,UNK,NR,F,LU	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,UNK,NR,F,LV	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,UNK,NR,F,ME	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,UNK,NR,F,MK	: 	0 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,UNK,NR,F,MT	0 	0 	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,UNK,NR,F,NL	0 	8 	7 	7 	10 b	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,UNK,NR,F,NO	0 	0 	: 	: 	: 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,UNK,NR,F,PL	6 	0 	0 	0 	0 b	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,UNK,NR,F,PT	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,UNK,NR,F,RO	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y71,UNK,NR,F,SE	0 	1 	0 	1 	1 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
